date,resid_mean,resid_std,n
20260614,0.07981538409591007,0.07781353337961669,4376.0
20260618,-0.22191437487281446,0.18578237429541777,523.0
20260619,-0.7679890704357354,0.40758318082097295,33.0
20260620,-0.244419061410348,0.16398435988432575,504.0
20260621,-0.021259046126916762,0.05276665268624937,12894.0
20260622,-0.07050982925828617,0.04617328082361454,10660.0
20260624,0.02770644216679665,0.023454492054846756,2332.0
20260627,0.0035878682521426654,0.08342337914801924,17710.0
20260629,0.20730543942922686,0.041833227800998365,8366.0
20260717,-0.04582757692712102,0.06607951143522421,13615.0
20260718,-0.05109215941207014,0.05818125735375533,5822.0
