t_start_s,t_end_s,duration_s,n_samples,duty_mean,voltage_mean,tilt_deg_mean,t_over_mg_mean,t_over_mg_std,file,date
19.835421,21.459532,1.6241109999999992,77,0.6633853896103897,3.879365503979667,0.923019978634588,0.9957612341231956,0.05839338928665558,stampfly_udp_20260614T215243.jsonl,20260614
14.700017,16.662537,1.9625199999999996,99,0.5861262626262627,3.9669885618952283,0.5047885574283364,0.9905511471983215,0.06382472279579991,stampfly_udp_20260620T102544.jsonl,20260620
6.542516,7.565018,1.0225020000000002,52,0.6078836538461538,4.039380016806622,1.8347407906885134,1.0064810897607266,0.03717638919796938,stampfly_udp_20260621T230743.jsonl,20260621
4.86502,6.747539,1.8825189999999994,95,0.6397065789473685,3.8637826771457404,1.9650578425634293,1.0182522362939013,0.0440993949201657,stampfly_udp_20260621T231119.jsonl,20260621
21.605042,28.315018,6.7099759999999975,336,0.6599175595238096,3.771353773169884,1.621312894819451,1.0230082893100918,0.03409168278851337,stampfly_udp_20260621T231119.jsonl,20260621
10.962523,13.725038,2.7625150000000005,139,0.6658107913669065,3.7481198137639327,0.9435542294248652,1.003873489434054,0.0355682567880172,stampfly_udp_20260621T231741.jsonl,20260621
10.360002,12.38,2.019998000000001,102,0.7290237745098038,3.53716689041824,0.8944052739724063,1.0152215028196931,0.02735911922791907,stampfly_udp_20260621T232044.jsonl,20260621
20.86,22.319998,1.4599979999999988,74,0.7590959459459459,3.426820778548878,0.5804574538615628,1.0071434297252255,0.029465287102762455,stampfly_udp_20260621T232044.jsonl,20260621
25.48,27.502507,2.022507000000001,102,0.7719262254901962,3.3871729988877,0.7883508257906228,1.0102895445808737,0.027603626291714832,stampfly_udp_20260621T232044.jsonl,20260621
10.982511,13.482518,2.500007,126,0.6131023809523809,3.977109006285714,1.1543784891302178,1.0030148914922197,0.029805452309958944,stampfly_udp_20260621T232227.jsonl,20260621
16.702509,18.622507,1.9199979999999996,97,0.6183819587628865,3.955174627463917,0.8136790427753697,1.00337288528893,0.03436506456209132,stampfly_udp_20260621T232227.jsonl,20260621
5.605006,8.247513,2.6425069999999993,133,0.6113772556390977,3.976552472430857,1.2816885180414848,0.9951241107729334,0.043119568437277676,stampfly_udp_20260622T161016.jsonl,20260622
9.167508,10.347519,1.1800110000000004,60,0.6226870833333334,3.954180226839826,1.2805762392887348,1.0007827678845975,0.042643304176629114,stampfly_udp_20260622T161016.jsonl,20260622
5.465032,17.985043,12.520011,627,0.6111362838915471,3.9895581811036815,1.4216150082717294,0.9955651710219425,0.050245380680742746,stampfly_udp_20260622T165808.jsonl,20260622
12.067536,13.905013,1.8374769999999998,93,0.6056494623655914,3.9820472609032254,1.2532881556921251,0.9838744606856124,0.05270797565985899,stampfly_udp_20260622T173150.jsonl,20260622
16.227711,17.365006,1.1372950000000017,58,0.6040366379310345,3.9674130191188124,1.1491169095092728,0.9880178334049293,0.040952639238004504,stampfly_udp_20260622T173150.jsonl,20260622
18.885013,20.965042,2.0800289999999997,105,0.6210304761904761,3.9500609987540347,0.9396523329293287,0.9884393546087352,0.06647021351922147,stampfly_udp_20260622T173150.jsonl,20260622
