# Motor steady-state voltage vs angular velocity
# モータ定常特性（電圧-角速度）実測データ
# Motor: 0720 coreless with propeller
voltage_V,omega_rad_s
1.04,1450
1.57,2083
2.04,2592
2.52,3152
3.01,3621
3.52,4097
