file,date,time,n_segments,hover_duration_s,voltage_mean,implied_corr_old_mean,implied_corr_new_mean,firmware_corr_logged_mean
stampfly_udp_20260614T201629.jsonl,20260614,201629,0,0.0,,,,
stampfly_udp_20260614T214537.jsonl,20260614,214537,0,0.0,,,,
stampfly_udp_20260614T215159.jsonl,20260614,215159,0,0.0,,,,
stampfly_udp_20260614T215243.jsonl,20260614,215243,1,1.6241109999999992,3.8798961038961033,1.130740201119925,0.9484579843194504,1.1307969173295251
stampfly_udp_20260618T185844.jsonl,20260618,185844,0,0.0,,,,
stampfly_udp_20260618T185959.jsonl,20260618,185959,0,0.0,,,,
stampfly_udp_20260618T194659.jsonl,20260618,194659,0,0.0,,,,
stampfly_udp_20260618T202112.jsonl,20260618,202112,0,0.0,,,,
stampfly_udp_20260619T002500.jsonl,20260619,002500,0,0.0,,,,
stampfly_udp_20260620T102544.jsonl,20260620,102544,1,1.9625199999999996,3.967191919191919,0.9949955530300147,0.834738650315044,0.9947230047876039
stampfly_udp_20260621T230743.jsonl,20260621,230743,1,1.0225020000000002,4.039384615384616,1.0472411760015756,0.8784672622050973,1.046899812023478
stampfly_udp_20260621T231119.jsonl,20260621,231119,2,8.592494999999996,3.817624561403509,1.062626037356469,0.891358073917061,1.0626179812495922
stampfly_udp_20260621T231604.jsonl,20260621,231604,0,0.0,,,,
stampfly_udp_20260621T231741.jsonl,20260621,231741,1,2.7625150000000005,3.7483165467625903,1.067007232137471,0.895016008330227,1.0666295034995514
stampfly_udp_20260621T232044.jsonl,20260621,232044,3,5.502503000000001,3.4507281399046104,1.1342335144526816,0.9513512007721823,1.1344378773679955
stampfly_udp_20260621T232227.jsonl,20260621,232227,2,4.420005,3.9663701521845844,1.0225735792268433,0.857756526896864,1.0221897261940205
stampfly_udp_20260622T161016.jsonl,20260622,161016,2,3.8225179999999996,3.96512030075188,1.03554144631321,0.8686485535981334,1.036706337298551
stampfly_udp_20260622T161055.jsonl,20260622,161055,0,0.0,,,,
stampfly_udp_20260622T165808.jsonl,20260622,165808,1,12.520011,3.9893460925039874,1.0261846575620006,0.8607983844671647,1.0262835563712225
stampfly_udp_20260622T173150.jsonl,20260622,173150,4,11.334795000000003,3.9571180747567847,1.0094450188143673,0.8467535540330914,1.0089145211332253
stampfly_udp_20260622T174939.jsonl,20260622,174939,0,0.0,,,,
stampfly_udp_20260622T180635.jsonl,20260622,180635,0,0.0,,,,
stampfly_udp_20260622T180708.jsonl,20260622,180708,0,0.0,,,,
stampfly_udp_20260622T180739.jsonl,20260622,180739,0,0.0,,,,
stampfly_udp_20260622T180847.jsonl,20260622,180847,0,0.0,,,,
stampfly_udp_20260622T181806.jsonl,20260622,181806,1,23.365012,3.9660838323353294,1.0166368260519039,0.8527894582758431,1.0163090646390947
stampfly_udp_20260622T183043.jsonl,20260622,183043,2,17.062506999999997,3.9515756791720573,1.0226160027609308,0.8578043198247554,1.0229775581151797
stampfly_udp_20260622T191826.jsonl,20260622,191826,2,22.362495,3.872140470451334,1.0369328381199032,0.869798563861783,1.036659969215202
stampfly_udp_20260624T125432.jsonl,20260624,125432,2,35.415024,3.6189652257521736,1.0920529638491048,0.9159963384649403,1.0919988123452617
stampfly_udp_20260627T020050.jsonl,20260627,020050,0,0.0,,,,
stampfly_udp_20260627T020137.jsonl,20260627,020137,23,83.50843300000001,3.659275369317972,1.0957125762797915,0.9190743188778067,1.0955902813725293
stampfly_udp_20260627T164611.jsonl,20260627,164611,0,0.0,,,,
stampfly_udp_20260627T165713.jsonl,20260627,165713,1,1.7674999999999983,3.8346329113924047,1.1230362624164911,0.9419810746557271,1.1242554399300206
stampfly_udp_20260629T145357.jsonl,20260629,145357,0,0.0,,,,
stampfly_udp_20260629T145526.jsonl,20260629,145526,10,19.835024000000033,3.8380812082912015,1.2252770858279824,1.027684380528029,1.2254687924623027
stampfly_udp_20260717T211648.jsonl,20260717,211648,2,4.260000000000002,4.002278481012658,1.0562273354650071,0.8859834967947602,1.055999616936151
stampfly_udp_20260717T223206.jsonl,20260717,223206,3,4.580168000000008,3.9592788441692464,1.0643563639719118,0.8927882261190838,1.0644234153447327
stampfly_udp_20260717T224508.jsonl,20260717,224508,3,5.254952000000003,3.958454611474219,1.0691458041085744,0.8967992443840207,1.0691437390016756
stampfly_udp_20260717T224906.jsonl,20260717,224906,4,8.884983000000005,3.949003697241608,1.0482887979507272,0.8793366432608164,1.0484666913440486
stampfly_udp_20260717T231940.jsonl,20260717,231940,3,5.909973999999998,4.031892714837942,1.021546988751065,0.8569051979701025,1.0215809336858668
stampfly_udp_20260718T022929.jsonl,20260718,022929,10,56.334856,3.972010152164651,1.0474330323478651,0.8786033983062328,1.047494217049655
stampfly_udp_20260718T064222.jsonl,20260718,064222,1,3.100009,3.9041032258064514,1.0607584125880796,0.8897715616889833,1.0611734112722497
