t_start_s,t_end_s,duration_s,n_samples,mode,altitude_mean,voltage_mean,duty_m1_mean,duty_m2_mean,duty_m3_mean,duty_m4_mean,duty_mean,duty_spread_motors,implied_corr_old_mean,implied_corr_old_std,implied_corr_new_mean,implied_corr_new_std,firmware_corr_logged_mean,file,date,time
19.835421,21.459532,1.6241109999999992,77,2,0.4933990263319635,3.8798961038961033,0.5217311688311689,0.7917415584415584,0.5762727272727274,0.7637961038961039,0.6633853896103896,0.11641751567580651,1.130740201119925,0.004901700207499855,0.9484579843194504,0.0041058827446311,1.1307969173295251,stampfly_udp_20260614T215243.jsonl,20260614,215243
14.700017,16.662537,1.9625199999999996,99,2,0.465173789347061,3.967191919191919,0.6382353535353535,0.5312767676767678,0.642359595959596,0.5326333333333333,0.5861262626262627,0.0541929555239947,0.9949955530300147,0.007867088209973833,0.834738650315044,0.006593031024051915,0.9947230047876039,stampfly_udp_20260620T102544.jsonl,20260620,102544
6.542516,7.565018,1.0225020000000002,52,2,0.441589223077664,4.039384615384616,0.7212826923076923,0.4850500000000001,0.7174423076923079,0.5077596153846154,0.6078836538461538,0.11177585847537387,1.0472411760015756,0.0047239826799569855,0.8784672622050973,0.003959892892867984,1.046899812023478,stampfly_udp_20260621T230743.jsonl,20260621,230743
4.86502,6.747539,1.8825189999999994,95,2,0.38966602087020874,3.8639157894736846,0.7734884210526315,0.49814105263157893,0.7641284210526317,0.5230684210526315,0.6397065789473685,0.12944461575137917,1.0627440331689841,0.004715208741110309,0.8914708423485962,0.003957443639800842,1.062550096006717,stampfly_udp_20260621T231119.jsonl,20260621,231119
21.605042,28.315018,6.7099759999999975,336,2,0.41073712724305333,3.771333333333333,0.720921130952381,0.607979761904762,0.7032520833333334,0.607517261904762,0.6599175595238096,0.052541989620019706,1.062508041543954,0.0068238829607215725,0.8912453054855259,0.005729632403794111,1.0626858664924672,stampfly_udp_20260621T231119.jsonl,20260621,231119
10.962523,13.725038,2.7625150000000005,139,2,0.48164394111942044,3.7483165467625903,0.743415107913669,0.5753669064748201,0.7532381294964029,0.5912230215827339,0.6658107913669065,0.08277892412149522,1.067007232137471,0.004809691486406348,0.895016008330227,0.00403384970517261,1.0666295034995514,stampfly_udp_20260621T231741.jsonl,20260621,231741
10.360002,12.38,2.019998000000001,102,2,0.32688195477513704,3.537411764705883,0.7746196078431371,0.691950980392157,0.774863725490196,0.6746607843137253,0.7290237745098038,0.04612485200516685,1.1210508450107124,0.005639947875350583,0.940303433920028,0.004726094798102345,1.1217797006012145,stampfly_udp_20260621T232044.jsonl,20260621,232044
20.86,22.319998,1.4599979999999988,74,2,0.37824407662894277,3.427243243243243,0.7826121621621621,0.7375094594594594,0.7783891891891893,0.737872972972973,0.759095945945946,0.021457123762363653,1.1362479751300278,0.005073590197374469,0.953039160563825,0.004251956300947306,1.1360040838107364,stampfly_udp_20260621T232044.jsonl,20260621,232044
25.48,27.502507,2.022507000000001,102,2,0.36225282999814723,3.387529411764705,0.7751882352941178,0.7721156862745098,0.7627196078431372,0.7776813725490197,0.7719262254901961,0.005669217968941957,1.1454017232173046,0.009691824854817496,0.9607110078326938,0.008123901923067155,1.145529847692036,stampfly_udp_20260621T232044.jsonl,20260621,232044
10.982511,13.482518,2.500007,126,2,0.524414388906388,3.977523809523809,0.6061103174603175,0.6099769841269842,0.6013571428571428,0.6349650793650794,0.613102380952381,0.012986389577088753,1.020155469434495,0.004831675558641754,0.8557300166144176,0.004051280823606025,1.0202849092786024,stampfly_udp_20260621T232227.jsonl,20260621,232227
16.702509,18.622507,1.9199979999999996,97,2,0.5040274855402327,3.9552164948453603,0.6247422680412371,0.6060938144329897,0.6242000000000001,0.6184917525773196,0.6183819587628867,0.00750522624087849,1.0249916890191917,0.004599871553473185,0.8597830371793104,0.003854512756917457,1.0240945431094384,stampfly_udp_20260621T232227.jsonl,20260621,232227
5.605006,8.247513,2.6425069999999993,133,2,0.538387948409059,3.9762406015037604,0.67283007518797,0.5570263157894736,0.6847473684210527,0.5309052631578948,0.6113772556390977,0.06817145428362092,1.0200900252674492,0.005845453702899212,0.8556871138264839,0.004902451485075394,1.0212952086176137,stampfly_udp_20260622T161016.jsonl,20260622,161016
9.167508,10.347519,1.1800110000000004,60,2,0.4345471367239952,3.9539999999999997,0.72831,0.5235733333333333,0.7384699999999998,0.5003949999999999,0.6226870833333334,0.1110639156095302,1.0509928673589708,0.00473956716214384,0.8816099933697829,0.003972654146224532,1.0521174659794883,stampfly_udp_20260622T161016.jsonl,20260622,161016
5.465032,17.985043,12.520011,627,3,0.48835621182428024,3.9893460925039874,0.6872695374800638,0.5404216905901117,0.6836535885167464,0.5332003189792663,0.611136283891547,0.07438010504273508,1.0261846575620006,0.011588358276582309,0.8607983844671647,0.009718554279999368,1.0262835563712225,stampfly_udp_20260622T165808.jsonl,20260622,165808
12.067536,13.905013,1.8374769999999998,93,3,0.5086829947528019,3.9820215053763444,0.6284774193548387,0.5798591397849463,0.6385516129032259,0.5757096774193549,0.6056494623655915,0.0281300488434731,1.0018677517156296,0.009961439873212055,0.8404031958471896,0.008347694625921496,1.0012125569656232,stampfly_udp_20260622T173150.jsonl,20260622,173150
16.227711,17.365006,1.1372950000000017,58,3,0.523177025646999,3.9679999999999995,0.6086706896551725,0.594255172413793,0.6146120689655172,0.5986086206896553,0.6040366379310346,0.008038261873452138,0.9909100403154103,0.00906760491648274,0.8312177080269447,0.0076008098290222415,0.9897994689103186,stampfly_udp_20260622T173150.jsonl,20260622,173150
18.885013,20.965042,2.0800289999999997,105,3,0.3984029798280625,3.9500190476190475,0.6422695238095238,0.5861780952380953,0.6608580952380951,0.5948161904761904,0.6210304761904761,0.03138157746324488,1.0309292510543815,0.0104772150834647,0.8647616961420401,0.008780208101861815,1.0304986948387092,stampfly_udp_20260622T173150.jsonl,20260622,173150
22.645006,28.925,6.279994000000002,315,3,0.4791032337953174,3.9284317460317464,0.625963492063492,0.6042346031746032,0.6351003174603175,0.6091269841269841,0.6186063492063492,0.012475816467191574,1.0140730321720484,0.010264740720346896,0.8506316161161913,0.008603491589146911,1.0141473638182505,stampfly_udp_20260622T173150.jsonl,20260622,173150
5.845005,29.210017,23.365012,1169,3,0.4842450860170751,3.9660838323353294,0.6690758768177929,0.5559803250641574,0.6672659538066723,0.5567604790419162,0.6122706586826347,0.05590459953301519,1.0166368260519039,0.007174834704733165,0.8527894582758431,0.006015570452933853,1.0163090646390947,stampfly_udp_20260622T181806.jsonl,20260622,181806
6.225017,21.665025,15.440007999999999,773,3,0.4758166010367454,3.983151358344114,0.6912732212160414,0.5362090556274256,0.6885205692108668,0.532375679172057,0.6120946313065976,0.07782015325444878,1.0278970514615853,0.01755691476224036,0.8622375331680686,0.014730378828716289,1.0278622484431637,stampfly_udp_20260622T183043.jsonl,20260622,183043
27.475007,29.097506,1.6224989999999977,82,3,0.5491185479047822,3.9200000000000013,0.6726865853658537,0.5825756097560976,0.6575109756097561,0.5682024390243903,0.6202439024390244,0.045459553240380514,1.0173349540602763,0.004792029713819044,0.8533711064814422,0.004015645631118047,1.0180928677871957,stampfly_udp_20260622T183043.jsonl,20260622,183043
5.625006,23.767504,18.142498,908,3,0.4742775254181303,3.89869603524229,0.6998588105726873,0.5541486784140969,0.7052074889867841,0.5617210352422907,0.6302340033039647,0.07237340809795961,1.038710076449484,0.0103095120212429,0.8712951727737648,0.008644748605378118,1.0386927808287418,stampfly_udp_20260622T191826.jsonl,20260622,191826
24.987509,29.207506,4.219996999999999,212,3,0.5186892288192263,3.845584905660377,0.6469500000000001,0.6189141509433962,0.6602094339622642,0.6331297169811321,0.639800825471698,0.015397880197460646,1.0351555997903223,0.004398544632327273,0.8683019549498012,0.0036864731346822953,1.0346271576016621,stampfly_udp_20260622T191826.jsonl,20260622,191826
12.097508,21.28751,9.190002000000002,458,3,0.36284354537335023,3.6471965065502188,0.7137655021834061,0.643147598253275,0.755743886462882,0.6586790393013101,0.6928340065502182,0.044808150646094724,1.0842585653784658,0.0049473880249869765,0.9094644966192149,0.004145091034531195,1.08415943740414,stampfly_udp_20260624T125432.jsonl,20260624,125432
22.98251,49.207532,26.225022,1308,3,0.32939650637841006,3.5907339449541285,0.7195252293577983,0.6782372324159021,0.7561061926605506,0.6874183486238532,0.710321750764526,0.030556919368728504,1.0998473623197438,0.010510524484457624,0.9225281803106656,0.008808177565606206,1.0998381872863836,stampfly_udp_20260624T125432.jsonl,20260624,125432
13.915017,16.670013,2.7549960000000002,138,3,0.4891621921805368,3.876463768115942,0.6867971014492754,0.5627115942028986,0.7336978260869564,0.5799347826086957,0.6407853260869566,0.07167306394341245,1.0653892112639447,0.008041568074168896,0.8936735192226325,0.006742777328979496,1.0647966165728182,stampfly_udp_20260627T020137.jsonl,20260627,020137
18.215013,23.755015,5.540002000000001,277,3,0.5118632557590085,3.8558844765342966,0.6607848375451263,0.5978447653429603,0.7232205776173285,0.604138989169675,0.6464972924187725,0.050625810320432764,1.0639728857484414,0.008276265477918982,0.892470218853195,0.00693940862531846,1.064203061481082,stampfly_udp_20260627T020137.jsonl,20260627,020137
26.560013,32.550015,5.9900020000000005,299,3,0.5492144673564362,3.825016722408026,0.6918745819397993,0.6189939799331103,0.7056538461538462,0.5956297658862876,0.6530380434782609,0.04672100172731181,1.068537230293729,0.011146734760261984,0.8962981920622327,0.009352227889907904,1.069150742431451,stampfly_udp_20260627T020137.jsonl,20260627,020137
35.940009,36.932721,0.9927119999999974,50,3,0.6022728669643402,3.8079999999999994,0.648656,0.616654,0.698964,0.645676,0.6524875,0.029602287491847543,1.0536654410012576,0.007889279299212619,0.8838198885925359,0.006614537500454927,1.053681030839388,stampfly_udp_20260627T020137.jsonl,20260627,020137
39.037513,47.495011,8.457498000000001,422,3,0.5157685863886964,3.7846635071090042,0.7018412322274881,0.6126734597156398,0.7305630331753554,0.6090670616113744,0.6635361966824644,0.0536511352291342,1.0765728397473546,0.009884251519514284,0.9030302082772032,0.008282804084425355,1.0764158043027208,stampfly_udp_20260627T020137.jsonl,20260627,020137
49.340011,51.470011,2.1300000000000026,107,3,0.5355434562558326,3.7604485981308393,0.5444906542056075,0.7789682242990655,0.5477551401869158,0.7876616822429906,0.6647189252336447,0.11864146408912828,1.0801828772966013,0.00833525464040712,0.9060833657720738,0.00698105314962934,1.0802913225935258,stampfly_udp_20260627T020137.jsonl,20260627,020137
53.177515,56.215229,3.037714000000001,152,3,0.5499319042030134,3.7473684210526317,0.5781434210526316,0.7601368421052631,0.573258552631579,0.7682203947368421,0.6699398026315789,0.09429795926599993,1.0841993657624627,0.008835317944695394,0.9094410325248008,0.007398237120630295,1.084286152125457,stampfly_udp_20260627T020137.jsonl,20260627,020137
59.180013,62.155298,2.9752849999999995,149,3,0.5194106390012191,3.7287516778523493,0.7400228187919463,0.5904845637583893,0.7617731543624161,0.6033926174496645,0.673918288590604,0.07749732750582579,1.0815804079344358,0.0063904537058466805,0.9072365317250889,0.005353110725929794,1.0809509761682916,stampfly_udp_20260627T020137.jsonl,20260627,020137
64.982515,66.105228,1.1227129999999903,57,3,0.5346477659125077,3.715368421052631,0.761157894736842,0.5707140350877193,0.7759754385964913,0.6021315789473685,0.6774947368421053,0.09189626820766734,1.0850714492155877,0.005524100781961176,0.9101640435271382,0.004629659671206801,1.0835681442656786,stampfly_udp_20260627T020137.jsonl,20260627,020137
67.692513,76.212671,8.520157999999995,425,3,0.5029013871445376,3.693364705882353,0.7009562352941177,0.6507348235294117,0.7373637647058823,0.6636080000000001,0.6881657058823529,0.03386812109698701,1.09610747942228,0.0070954390600518405,0.9193994468435392,0.005944303821058658,1.096347643207652,stampfly_udp_20260627T020137.jsonl,20260627,020137
76.840043,78.085243,1.2452000000000112,63,3,0.58392228872057,3.680000000000001,0.7241507936507937,0.6177190476190478,0.7586285714285714,0.6391809523809524,0.6849198412698412,0.0582667082269449,1.081742798294317,0.0074542115764248944,0.9073605223791694,0.006241199097515165,1.081747855620687,stampfly_udp_20260627T020137.jsonl,20260627,020137
78.829998,80.940011,2.110012999999995,106,3,0.5144774981264798,3.6743396226415093,0.6862132075471697,0.6942169811320755,0.7022367924528301,0.6863603773584904,0.6922568396226414,0.00660937533217071,1.1002468280732796,0.007486868385589616,0.9228759212314228,0.006281160760187329,1.0994293169394027,stampfly_udp_20260627T020137.jsonl,20260627,020137
85.942511,92.562515,6.620004000000009,331,3,0.5347235837551763,3.650876132930514,0.6876649546827794,0.7076788519637462,0.7108948640483383,0.6924743202416919,0.699678247734139,0.00982392399747996,1.1048869795006917,0.010363087227055631,0.9267577689470269,0.008686329259777406,1.1050078515088502,stampfly_udp_20260627T020137.jsonl,20260627,020137
