file,t_start_s,logged_current_ma,predicted_current_ma,ratio_pred_over_logged
stampfly_udp_20260717T211648.jsonl,20.674998,328.1367088607595,3653.890883587156,11.135270102125748
stampfly_udp_20260717T211648.jsonl,27.7,326.9684210526315,3604.4224595513338,11.02376323666785
stampfly_udp_20260717T223206.jsonl,28.940014,327.27999999999986,3617.0286329991595,11.051786338912127
stampfly_udp_20260717T223206.jsonl,40.015038,327.864705882353,3649.2734387320843,11.130424755269466
stampfly_udp_20260717T223206.jsonl,57.857516,328.61764705882354,3700.9421202075337,11.26215269731103
stampfly_udp_20260717T224508.jsonl,35.082511,327.6592592592591,3650.009694629831,11.139650693471705
stampfly_udp_20260717T224508.jsonl,52.807541,329.62816901408456,3680.0140913143637,11.164137161946016
stampfly_udp_20260717T224508.jsonl,57.08001,329.87764705882347,3684.242949683465,11.168513485324134
stampfly_udp_20260717T224906.jsonl,21.352518,326.0823529411765,3605.159161955209,11.055977514384411
stampfly_udp_20260717T224906.jsonl,41.287518,329.69166666666666,3593.0977727685304,10.898357878124097
stampfly_udp_20260717T224906.jsonl,44.842521,328.9894736842105,3610.8171059361375,10.975479140715848
stampfly_udp_20260717T224906.jsonl,54.262519,329.071186440678,3603.6548520731826,10.950988723902807
stampfly_udp_20260717T231940.jsonl,10.762522,325.8813559322034,3504.6524623806176,10.754381613379957
stampfly_udp_20260717T231940.jsonl,22.580021,324.47804878048777,3460.4515164478594,10.6646706285789
stampfly_udp_20260717T231940.jsonl,34.217542,327.73473684210524,3581.471159175828,10.927957145114267
stampfly_udp_20260718T022929.jsonl,9.725195,327.57037037037037,3562.28676435835,10.874874795087903
stampfly_udp_20260718T022929.jsonl,12.46002,327.8019999999999,3550.9757216241474,10.832684735371195
stampfly_udp_20260718T022929.jsonl,17.397524,325.960824742268,3521.5499864599415,10.803598835057478
stampfly_udp_20260718T022929.jsonl,23.642526,328.5367088607594,3610.940123538777,10.990979169603746
stampfly_udp_20260718T022929.jsonl,29.147522,326.02150537634407,3561.994640265847,10.925643190789044
stampfly_udp_20260718T022929.jsonl,31.650018,328.8638036809816,3587.794915121005,10.909667999222528
stampfly_udp_20260718T022929.jsonl,45.70502,329.59566787003615,3620.92062287535,10.985947255541982
stampfly_udp_20260718T022929.jsonl,52.867524,329.77034220532323,3645.796074178625,11.055560817863547
stampfly_udp_20260718T022929.jsonl,59.330016,330.12659574468086,3636.3944957311433,11.015151589130136
stampfly_udp_20260718T022929.jsonl,111.830043,330.37777777777796,3704.5152801795352,11.212967485577385
stampfly_udp_20260718T064222.jsonl,54.387502,329.8864516129032,3643.9595998382774,11.046102627197882
