file,episode_id,seg_idx,t_start_s,t_end_s,t_mid_s,t_takeoff_s,t_since_takeoff_s,duration_s,n_samples,voltage_mean,duty_m1_mean,duty_m2_mean,duty_m3_mean,duty_m4_mean,duty_mean,Vapp_m1_mean,Vapp_m2_mean,Vapp_m3_mean,Vapp_m4_mean,Vapp_mean,altitude_mean
stampfly_udp_20260627T020137.jsonl,0,0,13.915017,16.670013,15.292515000000002,3.447508,11.845007000000003,2.7549960000000002,138,3.876463768115942,0.6867971014492754,0.5627115942028986,0.7336978260869564,0.5799347826086957,0.6407853260869566,2.662592063768116,2.181060388405797,2.8443703246376812,2.247836104347826,2.4839647202898547,0.4891621921805368
stampfly_udp_20260627T020137.jsonl,0,1,18.215013,23.755015,20.985014,3.447508,17.537506,5.540002000000001,277,3.8558844765342966,0.6607848375451263,0.5978447653429603,0.7232205776173285,0.604138989169675,0.6464972924187725,2.547876915523465,2.3052736895306856,2.788605314079422,2.329503789169675,2.492814927075812,0.5118632557590085
stampfly_udp_20260627T020137.jsonl,0,2,26.560013,32.550015,29.555014,3.447508,26.107506,5.9900020000000005,299,3.825016722408026,0.6918745819397993,0.6189939799331103,0.7056538461538462,0.5956297658862876,0.6530380434782609,2.6465645538461535,2.367491539799331,2.699333490301003,2.2781285725752505,2.4978795391304347,0.5492144673564362
stampfly_udp_20260627T020137.jsonl,0,3,35.940009,36.932721,36.436365,3.447508,32.988857,0.9927119999999974,50,3.8079999999999994,0.648656,0.616654,0.698964,0.645676,0.6524875,2.470082048,2.348218432,2.6616549120000004,2.4587342079999996,2.4846723999999996,0.6022728669643402
stampfly_udp_20260627T020137.jsonl,0,4,39.037513,47.495011,43.266262,3.447508,39.818754,8.457498000000001,422,3.7846635071090042,0.7018412322274881,0.6126734597156398,0.7305630331753554,0.6090670616113744,0.6635361966824644,2.6561361364928904,2.318897736492891,2.7648466199052133,2.3052019962085306,2.511270622274881,0.5157685863886964
stampfly_udp_20260627T020137.jsonl,0,5,49.340011,51.470011,50.405011,3.447508,46.957503,2.1300000000000026,107,3.7604485981308393,0.5444906542056075,0.7789682242990655,0.5477551401869158,0.7876616822429906,0.6647189252336447,2.0475779364485978,2.9292223327102804,2.059858811214953,2.961916575700935,2.4996439140186912,0.5355434562558326
stampfly_udp_20260627T020137.jsonl,0,6,53.177515,56.215229,54.696372,3.447508,51.248864,3.037714000000001,152,3.7473684210526317,0.5781434210526316,0.7601368421052631,0.573258552631579,0.7682203947368421,0.6699398026315789,2.166494852631579,2.848589868421053,2.1481192368421054,2.8788476052631577,2.510512890789474,0.5499319042030134
stampfly_udp_20260627T020137.jsonl,0,7,59.180013,62.155298,60.6676555,3.447508,57.2201475,2.9752849999999995,149,3.7287516778523493,0.7400228187919463,0.5904845637583893,0.7617731543624161,0.6033926174496645,0.673918288590604,2.7593190604026843,2.201805288590604,2.8404320966442955,2.249955597315437,2.512878010738255,0.5194106390012191
stampfly_udp_20260627T020137.jsonl,0,8,64.982515,66.105228,65.5438715,3.447508,62.096363499999995,1.1227129999999903,57,3.715368421052631,0.761157894736842,0.5707140350877193,0.7759754385964913,0.6021315789473685,0.6774947368421053,2.827958245614035,2.1204364350877194,2.8830337684210523,2.2371596210526317,2.51714701754386,0.5346477659125077
stampfly_udp_20260627T020137.jsonl,0,9,67.692513,76.212671,71.95259200000001,3.447508,68.50508400000001,8.520157999999995,425,3.693364705882353,0.7009562352941177,0.6507348235294117,0.7373637647058823,0.6636080000000001,0.6881657058823529,2.5888183792941177,2.4034588385882354,2.7232847228235295,2.4510126079999996,2.5416436371764703,0.5029013871445376
stampfly_udp_20260627T020137.jsonl,0,10,76.840043,78.085243,77.462643,3.447508,74.015135,1.2452000000000112,63,3.680000000000001,0.7241507936507937,0.6177190476190478,0.7586285714285714,0.6391809523809524,0.6849198412698412,2.6648749206349214,2.273206095238095,2.791753142857143,2.3521859047619045,2.5205050158730167,0.58392228872057
stampfly_udp_20260627T020137.jsonl,0,11,78.829998,80.940011,79.88500450000001,3.447508,76.43749650000001,2.110012999999995,106,3.6743396226415093,0.6862132075471697,0.6942169811320755,0.7022367924528301,0.6863603773584904,0.6922568396226414,2.521567154716982,2.5505784679245282,2.580465509433963,2.521724724528302,2.5435839641509435,0.5144774981264798
stampfly_udp_20260627T020137.jsonl,0,12,81.445166,82.230017,81.8375915,3.447508,78.3900835,0.7848510000000033,40,3.6719999999999997,0.7770725,0.5924125,0.7856474999999999,0.5820475,0.684295,2.8534102199999998,2.1753387,2.8848976200000003,2.13727842,2.51273124,0.5639205977320672
stampfly_udp_20260627T020137.jsonl,0,13,85.942511,92.562515,89.252513,3.447508,85.805005,6.620004000000009,331,3.650876132930514,0.6876649546827794,0.7076788519637462,0.7108948640483383,0.6924743202416919,0.699678247734139,2.5105373486404834,2.583702269486405,2.5953111951661634,2.5282212592145017,2.5544430181268885,0.5347235837551763
stampfly_udp_20260627T020137.jsonl,0,14,100.845184,108.372506,104.608845,3.447508,101.161337,7.527321999999998,376,3.6156595744680846,0.7270933510638298,0.6659130319148936,0.7600696808510639,0.6838234042553191,0.7092248670212765,2.6289026851063833,2.4076860851063833,2.748166444680851,2.4724542723404257,2.5643023718085107,0.4867333463848905
stampfly_udp_20260627T020137.jsonl,0,15,113.010038,114.677515,113.84377649999999,3.447508,110.39626849999999,1.6674770000000052,84,3.5988571428571428,0.7564035714285714,0.6028559523809524,0.8086416666666668,0.6449738095238094,0.70321875,2.7222874380952384,2.16949300952381,2.9102563428571435,2.3210635047619044,2.5307750738095236,0.562150627374649
stampfly_udp_20260627T020137.jsonl,0,16,115.742515,116.625212,116.1838635,3.447508,112.7363555,0.8826970000000074,45,3.5904000000000007,0.7458266666666667,0.6343933333333334,0.8044622222222222,0.6737133333333334,0.7145988888888889,2.6777840711111116,2.277743253333334,2.8883224533333336,2.4189353777777782,2.565696288888889,0.4665508515304989
stampfly_udp_20260627T020137.jsonl,0,17,118.155043,119.757517,118.95628,3.447508,115.50877200000001,1.6024740000000008,81,3.585481481481482,0.7432666666666667,0.6691753086419753,0.7765814814814814,0.671920987654321,0.7152361111111112,2.664827812345679,2.399436701234568,2.7842862222222218,2.409291930864198,2.5644606666666667,0.48871125446425545
stampfly_udp_20260627T020137.jsonl,0,18,131.745158,132.670013,132.2075855,3.447508,128.7600775,0.924855000000008,47,3.5600000000000005,0.7655595744680852,0.6553255319148936,0.7916212765957445,0.6761702127659573,0.7221691489361702,2.7253920851063826,2.3329588936170214,2.8181717446808516,2.4071659574468085,2.570922170212766,0.4458261569763752
stampfly_udp_20260627T020137.jsonl,0,19,138.432507,141.030015,139.731261,3.447508,136.283753,2.597508000000005,130,3.544,0.7456646153846155,0.6736892307692308,0.7898607692307692,0.6897007692307693,0.7247288461538461,2.6426353969230765,2.387554633846154,2.799266566153846,2.4442995261538463,2.5684390307692304,0.46206947725552777
stampfly_udp_20260627T020137.jsonl,0,20,141.492517,142.212552,141.8525345,3.447508,138.4050265,0.7200349999999958,37,3.536,0.6963270270270269,0.723272972972973,0.7660540540540541,0.7643972972972973,0.7375128378378377,2.462212367567568,2.557493232432433,2.708767135135135,2.702908843243243,2.607845394594595,0.41891043894999735
